日期,發佈單位,標題,url
2023-08-11,研究發展處學術推展中心,【NSTC計畫徵求】2024年歐盟大型儀器培訓計畫(HERCULES)，自即日起至112年09月21日中午前受理申請，逾期不予受理，請查照。,https://bulletin.ntust.edu.tw/p/406-1045-115914\,r1391.php?Lang=zh-tw
2023-08-11,通識教育中心,【活動轉知】🎖擷英集萃．碑刻如林🎖2023西安碑林海峽兩岸臨書徵件活動開跑！,https://bulletin.ntust.edu.tw/p/406-1045-115912\,r1391.php?Lang=zh-tw
2023-08-10,研究發展處計畫業務服務中心,【活動敬邀公告】112年8月24日(星期四)「2023年度國立臺灣科技大學暨學術合作夥伴聯合成果發表會」，歡迎踴躍報名參加，謝謝！,https://bulletin.ntust.edu.tw/p/406-1045-115895\,r1391.php?Lang=zh-tw
2023-08-10,教務處教學發展中心,【PBL助教申請】本校112-1學期問題導向學習(PBL)課程教學助理之申請自即日起至112/9/15(五)截止,https://bulletin.ntust.edu.tw/p/406-1045-114532\,r1391.php?Lang=zh-tw
2023-08-10,教務處教學發展中心,【PBL獎勵申請】111-2學期創新教學模式獎勵申請(PBL課程類)，請有意申請的老師於112/09/04(一)前完成繳交。,https://bulletin.ntust.edu.tw/p/406-1045-114081\,r1391.php?Lang=zh-tw
2023-08-10,研究發展處計畫業務服務中心,【訊息轉知】中國醫藥大學研究倫理中心謹訂於112年09月01日舉辦實體課程「研究倫理工作坊：從AI開發過程反思倫審機制」，歡迎有興趣者報名參加，請查照。,https://bulletin.ntust.edu.tw/p/406-1045-115903\,r1391.php?Lang=zh-tw
2023-08-10,研究發展處計畫業務服務中心,【NSTC修正公告】修正「科技部補助產業前瞻技術計畫作業要點」等2種行政規則,https://bulletin.ntust.edu.tw/p/406-1045-115901\,r1391.php?Lang=zh-tw
2023-08-10,研究發展處計畫業務服務中心,【課程通知】財團法人醫學研究倫理基金會擬訂於112年9月9日(六)、9月22日(五)辦理「人體試驗研究倫理講習班~GCP」視訊課程，請查照。,https://bulletin.ntust.edu.tw/p/406-1045-115885\,r1391.php?Lang=zh-tw
2023-08-10,學務處就業輔導組,【轉知】大陸委員會「2023臺港澳學生職涯啟航培訓營」,https://bulletin.ntust.edu.tw/p/406-1045-115883\,r1391.php?Lang=zh-tw
2023-08-10,語言中心,【暑期課程公告】2023線上暑期「EMI學術英語先修班」報名截止日僅至8/13，請新生盡速報名,https://bulletin.ntust.edu.tw/p/406-1045-115854\,r1391.php?Lang=zh-tw
2023-08-09,研究發展處計畫業務服務中心,【NSTC活動公告】科普產品製播推廣產學合作計畫徵求說明會,https://bulletin.ntust.edu.tw/p/406-1045-115873\,r1391.php?Lang=zh-tw
2023-08-09,研究發展處計畫業務服務中心,【NSTC計畫徵求】2024年法國國家研究總署(ANR)雙邊協議國際合作研究計畫,https://bulletin.ntust.edu.tw/p/406-1045-115871\,r1391.php?Lang=zh-tw
2023-08-09,研究發展處計畫業務服務中心,【NSTC計畫徵求】補助國內舉辦國際學術研討會112年第二期,https://bulletin.ntust.edu.tw/p/406-1045-115869\,r1391.php?Lang=zh-tw
2023-08-09,永續發展與校務研究中心,【活動轉知】2023淨零碳排科技國際競賽@Taiwan&企業淨零技術展示及論壇,https://bulletin.ntust.edu.tw/p/406-1045-115861\,r1391.php?Lang=zh-tw
2023-08-09,電子計算機中心,【重要通知】Adobe軟體需求調查/AdobeSoftwareRequirementsSurvey。,https://bulletin.ntust.edu.tw/p/406-1045-115843\,r1391.php?Lang=zh-tw
2023-08-08,教務處教學發展中心,【轉知】《臺大管理論叢》與國立中興大學管理學院及《台灣管理學刊》共同舉辦「論文審查工作坊」,https://bulletin.ntust.edu.tw/p/406-1045-115825\,r1391.php?Lang=zh-tw
2023-08-08,教務處教學發展中心,【轉知】國立高雄大學於112年09月04日辦理112年度《有魂有體的教學實踐研究計畫撰寫與執行》教學實踐研究系列研習。,https://bulletin.ntust.edu.tw/p/406-1045-115824\,r1391.php?Lang=zh-tw
2023-08-08,教務處教學發展中心,【轉知】南臺科技大學辦理「區塊鏈供應鏈金融系統教師研習」,https://bulletin.ntust.edu.tw/p/406-1045-115823\,r1391.php?Lang=zh-tw
2023-08-08,環安室,【活動轉知】桃園市政府勞動檢查處112年桃園是高空作業安全體驗營活動資訊，敬邀全校教職員工生參加。,https://bulletin.ntust.edu.tw/p/406-1045-115822\,r1391.php?Lang=zh-tw
2023-08-08,教務處教學發展中心,【轉知】中國醫藥大學附設醫院臨床試驗中心舉辦「臨床試驗」專題講座系列課程,https://bulletin.ntust.edu.tw/p/406-1045-115821\,r1391.php?Lang=zh-tw
2023-08-08,教務處註冊組,112年度技術士技能檢定「熱處理」職類乙、丙級術科測試監評人員資格培訓甄選,https://bulletin.ntust.edu.tw/p/406-1045-115820\,r1391.php?Lang=zh-tw
2023-08-08,教務處教學發展中心,【轉知】中華醫事科技大學舉辦「教師多元教學知能提升與跨域創課經驗分享會」系列活動，於8/24增加一場活動場次，若有意參與者可自行報名參加。,https://bulletin.ntust.edu.tw/p/406-1045-115819\,r1391.php?Lang=zh-tw
2023-08-08,國際事務處,【轉知】臺灣與東南亞暨南亞大學校長論壇（SATUPresidents’Forum）敬邀相關領域教研人員報名與會,https://bulletin.ntust.edu.tw/p/406-1045-115818\,r1391.php?Lang=zh-tw
2023-08-08,產學處創新育成中心,【轉知】「112年度臺科選拔校園衍生創業隊赴矽谷計畫」,https://bulletin.ntust.edu.tw/p/406-1045-115815\,r1391.php?Lang=zh-tw
2023-08-08,環安室,【生物實驗室相關規定】衛生福利部疾病管制署新修訂「高防護實驗室啟用、暫停及關閉規定」,https://she.ntust.edu.tw/p/404-1068-97807.php?Lang=zh-tw
2023-08-08,電子計算機中心,轉知台灣E化資安分析管理協會舉辦「資安鑑識課程-系列Ⅰ初級課程：兼談物聯網&ZeroTrust安全架構趨勢-資安之自我演練及防護」,https://bulletin.ntust.edu.tw/p/406-1045-115812\,r1391.php?Lang=zh-tw
2023-08-08,電子計算機中心,轉知國立政治大學辦理「112年教育體系資安專業訓練課程第3梯次說明」,https://bulletin.ntust.edu.tw/p/406-1045-115811\,r1391.php?Lang=zh-tw
2023-08-08,永續發展與校務研究中心,[活動轉知]台灣永續能源研究基金會辦理「2023永續發展目標教師培力營-暑假場」。,https://bulletin.ntust.edu.tw/p/406-1045-115805\,r1391.php?Lang=zh-tw
2023-08-08,總務處營繕組,總務處營繕組徵求112學年度工讀生,https://bulletin.ntust.edu.tw/p/406-1045-115800\,r1391.php?Lang=zh-tw
2023-08-07,通識教育中心,【活動轉知】2023FACP亞洲文化推展聯盟高雄年會，＜創發新象＞國際徵件計畫報名簡章1份，歡迎教職員生踴躍投稿。,https://bulletin.ntust.edu.tw/p/406-1045-115776\,r1391.php?Lang=zh-tw
2023-08-07,研究發展處計畫業務服務中心,【NSTC計畫徵求】113年度「人文學及社會科學經典譯注研究計畫」構想,https://bulletin.ntust.edu.tw/p/406-1045-115794\,r1391.php?Lang=zh-tw
2023-08-07,產學創新學院,【徵才】產學創新學院-全職約用人員,https://bulletin.ntust.edu.tw/p/406-1045-115790\,r1391.php?Lang=zh-tw
2023-08-07,研究發展處計畫業務服務中心,【NSTC計畫徵求】英國皇家學會(RS)2024年度雙邊合作人員交流2年期計畫,https://bulletin.ntust.edu.tw/p/406-1045-115792\,r1391.php?Lang=zh-tw
2023-08-07,產學營運處智財技轉中心,【產學處/智財技轉中心】112年度「研發成果雛形化補助」公開徵選研發成果，自即日起至112年9月30日下午五點前受理申請。(2023.08.07),https://bulletin.ntust.edu.tw/p/406-1045-115789\,r1391.php?Lang=zh-tw
